Hora,Temperatura CPU (Â°C),Temperatura GPU (Â°C),Uso GPU (%),Memoria GPU usada (MB)
2025-08-17 13:44:24,48,50,1,0
2025-08-17 13:44:30,48,50,1,0
2025-08-17 13:44:35,48,50,1,0
2025-08-17 13:44:41,48,50,1,0
2025-08-17 13:44:46,48,50,1,0
2025-08-17 13:44:52,48,50,1,0
2025-08-17 13:44:57,48,50,1,0
2025-08-17 13:45:03,48,50,1,0
2025-08-17 13:45:08,48,50,1,0
2025-08-17 13:45:14,48,50,1,0
2025-08-17 13:45:19,48,50,1,0
2025-08-17 13:45:25,48,50,1,0
2025-08-17 13:45:30,48,50,1,0
2025-08-17 13:45:36,48,50,1,0
2025-08-17 13:45:41,48,50,1,0
2025-08-17 13:45:47,48,50,1,0
2025-08-17 13:45:52,48,50,1,0
2025-08-17 13:45:58,48,50,1,0
2025-08-17 13:46:03,48,50,1,0
2025-08-17 13:46:09,48,50,1,0
2025-08-17 13:46:14,48,50,1,0
2025-08-17 13:46:20,48,50,1,0
2025-08-17 13:46:25,48,50,1,0
2025-08-17 13:46:31,48,50,1,0
2025-08-17 13:46:37,48,50,1,0
2025-08-17 13:46:42,48,50,1,0
2025-08-17 13:46:48,48,50,1,0
2025-08-17 13:46:53,48,50,1,0
2025-08-17 13:46:59,48,50,1,0
2025-08-17 13:47:04,48,50,1,0
2025-08-17 13:47:10,48,50,1,0
2025-08-17 13:47:15,48,50,1,0
2025-08-17 13:47:21,48,51,1,0
2025-08-17 13:47:26,48,51,1,0
2025-08-17 13:47:32,48,51,1,0
2025-08-17 13:47:37,48,50,1,0
2025-08-17 13:47:43,48,50,1,0
2025-08-17 13:47:48,48,51,1,0
2025-08-17 13:47:54,48,51,1,0
2025-08-17 13:47:59,48,51,1,0
2025-08-17 13:48:05,48,51,1,0
2025-08-17 13:48:10,48,51,1,0
2025-08-17 13:48:16,48,51,1,0
2025-08-17 13:48:21,48,51,1,0
2025-08-17 13:48:27,48,51,1,0
2025-08-17 13:48:32,48,51,1,0
2025-08-17 13:48:38,48,51,1,0
2025-08-17 13:48:43,48,51,1,0
2025-08-17 13:48:49,48,51,1,0
2025-08-17 13:48:54,48,51,1,0
2025-08-17 13:49:00,48,51,1,0
2025-08-17 13:49:05,48,51,1,0
2025-08-17 13:49:11,48,51,1,0
2025-08-17 13:49:16,48,51,1,0
2025-08-17 13:49:22,48,51,1,0
2025-08-17 13:49:28,48,51,1,0
2025-08-17 13:49:33,48,51,1,0
2025-08-17 13:49:39,48,51,1,0
2025-08-17 13:49:44,48,51,1,0
2025-08-17 13:49:50,48,51,1,0
2025-08-17 13:49:55,48,51,1,0
2025-08-17 13:50:01,48,51,1,0
2025-08-17 13:50:06,48,51,1,0
2025-08-17 13:50:12,48,51,1,0
2025-08-17 13:50:17,48,51,1,0
2025-08-17 13:50:23,48,50,1,0
2025-08-17 13:50:28,48,51,1,0
2025-08-17 13:50:34,48,51,1,0
2025-08-17 13:50:39,48,51,1,0
2025-08-17 13:50:45,48,51,1,0
2025-08-17 13:50:50,48,51,1,0
2025-08-17 13:50:56,48,51,1,0
2025-08-17 13:51:01,48,50,1,0
2025-08-17 13:51:07,48,51,1,0
2025-08-17 13:51:12,48,51,1,0
2025-08-17 13:51:18,48,50,1,0
2025-08-17 13:51:23,48,50,1,0
2025-08-17 13:51:29,48,51,1,0
2025-08-17 13:51:34,48,51,1,0
2025-08-17 13:51:40,48,51,1,0
2025-08-17 13:51:45,48,51,1,0
2025-08-17 13:51:51,48,50,1,0
2025-08-17 13:51:56,48,50,1,0
2025-08-17 13:52:02,48,50,1,0
2025-08-17 13:52:07,48,50,1,0
2025-08-17 13:52:13,48,50,1,0
2025-08-17 13:52:18,48,51,1,0
2025-08-17 13:52:24,48,50,1,0
2025-08-17 13:52:30,48,50,1,0
2025-08-17 13:52:35,48,51,1,0
2025-08-17 13:52:41,48,50,1,0
2025-08-17 13:52:46,48,50,1,0
2025-08-17 13:52:52,48,50,1,0
2025-08-17 13:52:57,48,50,1,0
2025-08-17 13:53:03,48,50,1,0
2025-08-17 13:53:08,48,50,1,0
2025-08-17 13:53:14,48,50,1,0
2025-08-17 13:53:19,48,50,1,0
